#OTUID	taxonomy	confidence
023fdd212847e51e48f7e0e369df0f06	d__Bacteria; p__Actinobacteriota; c__Actinobacteria; o__Micrococcales; f__Micrococcaceae	0.9
0241c22f1fe9117fb5c6cff345aa0aef	d__Bacteria; p__Actinobacteriota; c__Actinobacteria; o__Micrococcales; f__Microbacteriaceae; g__Agromyces	1.0
02467487c16d3c2f4bc7c697e75eb142	d__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Burkholderiales; f__Comamonadaceae	0.7
0256ad75c9020673df03de6199d3770f	d__Bacteria; p__Actinobacteriota; c__Actinobacteria; o__Micrococcales; f__Micrococcaceae; g__Pseudarthrobacter	0.7
0258d241602ad152fd2a3d217929ad4d	d__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Xanthomonadales; f__Xanthomonadaceae; g__Pseudoxanthomonas	1.0
026451e4d62e519ab825bc399ca13443	Unassigned	1.0
02672a12b1754b3fcc277c0789f705f4	d__Bacteria; p__Actinobacteriota; c__Actinobacteria; o__Propionibacteriales; f__Nocardioidaceae; g__Nocardioides	1.0
026981db16a9300aeffb4e03a1b1b66b	d__Bacteria; p__Actinobacteriota; c__Actinobacteria; o__Micrococcales; f__Microbacteriaceae; g__Agromyces	1.0
026eede3cca7c67804ffd79c4c1ed01e	d__Bacteria; p__Actinobacteriota; c__Actinobacteria; o__Micrococcales; f__Microbacteriaceae; g__Agromyces	1.0
02713f3676c7091cc14125f520550b50	d__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Xanthomonadales; f__Xanthomonadaceae; g__Lysobacter	1.0
0273d77f2ba331b95f5bbd9e6b64f3ac	d__Bacteria; p__Actinobacteriota; c__Actinobacteria; o__Propionibacteriales; f__Nocardioidaceae; g__Aeromicrobium	1.0
027ee4d564903c7b6e4beffbbbbcc0b9	d__Bacteria; p__Firmicutes; c__Bacilli; o__Paenibacillales; f__Paenibacillaceae; g__Paenibacillus	1.0
0280bc812199c9e02f3243d26dd91255	d__Bacteria; p__Actinobacteriota; c__Actinobacteria; o__Streptomycetales; f__Streptomycetaceae; g__Streptomyces; s__Streptomyces_atroolivaceus	0.6
0285e3cf34dca0f6f0cbf8dba9414ee6	d__Bacteria; p__Actinobacteriota; c__Actinobacteria; o__Micrococcales; f__Microbacteriaceae; g__Microbacterium	1.0
028c1c306cad0e0d07f979f78313507d	d__Bacteria; p__Actinobacteriota; c__Actinobacteria; o__Streptomycetales; f__Streptomycetaceae; g__Streptomyces	1.0
02950d2a825b5d5f380720bbf41faaf5	d__Bacteria; p__Actinobacteriota; c__Actinobacteria; o__Micrococcales; f__Micrococcaceae; g__Pseudarthrobacter	0.6
0296c74df2a52aabb232009f7267f6a4	d__Bacteria; p__Firmicutes; c__Bacilli; o__Bacillales; f__Bacillaceae; g__Bacillus	1.0
0296cb8e1036c82ae62a7c2fa2591d50	d__Bacteria; p__Firmicutes; c__Bacilli; o__Bacillales; f__Planococcaceae; g__Psychrobacillus	0.9
02997705c2436c25356d1cffd8c6fa16	d__Bacteria; p__Actinobacteriota; c__Actinobacteria; o__Propionibacteriales; f__Nocardioidaceae; g__Nocardioides	1.0
029a8ecd80b1448bf3e9a394d3d678f3	d__Bacteria; p__Actinobacteriota; c__Actinobacteria; o__Micrococcales; f__Microbacteriaceae; g__Clavibacter	0.8
02abc2981fa0351f304bb5b0061e0cad	d__Bacteria; p__Firmicutes; c__Bacilli; o__Bacillales; f__Bacillaceae; g__Bacillus	1.0
02bbd0419b1010b6d4a650968e287810	d__Bacteria; p__Firmicutes; c__Bacilli; o__Bacillales; f__Bacillaceae; g__Bacillus; s__Bacillus_subtilis	0.6
02bdda80b93c0108f804e94e0155f69e	d__Bacteria; p__Actinobacteriota; c__Actinobacteria; o__Micrococcales; f__Micrococcaceae; g__Pseudarthrobacter	0.6
02be10dbda9e5698a0a8c5fbf44dc695	d__Bacteria; p__Actinobacteriota; c__Actinobacteria; o__Micrococcales; f__Microbacteriaceae; g__Microbacterium	1.0
02c63f05c5b327dd0eac8b97e19f502c	d__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Rhizobiales; f__Rhizobiaceae	1.0
02ce5f7fce4eba4d959879de127cb1fa	d__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Xanthomonadales; f__Rhodanobacteraceae; g__Rhodanobacter	1.0
02cfedb9ef70c137d83e13fa717a89f8	d__Bacteria; p__Firmicutes; c__Bacilli; o__Bacillales; f__Bacillaceae; g__Bacillus; s__Bacillus_sp.	0.8
02d0b50ac5c386e7ecf70b67a8d4417d	d__Bacteria; p__Actinobacteriota; c__Actinobacteria; o__Micrococcales; f__Micrococcaceae; g__Arthrobacter; s__Arthrobacter_sp.	0.8
02d4a043c22274b935c03154cc2268be	d__Bacteria; p__Actinobacteriota; c__Actinobacteria; o__Micrococcales; f__Microbacteriaceae; g__Microbacterium	1.0
